price,address,beds,baths,sqft
699000,"1812 Elmen St, Houston, TX 77019",4,3.5,3784
279875,"1010 Rosine St Apt 20, Houston, TX 77019",2,2,1129
243900,"3231 Allen Pkwy Apt 4107, Houston, TX 77019",2,2,1006
1499000,"1711 Morse St, Houston, TX 77019",4,3.5,3945
254900,"3231 Allen Pkwy Apt 3202, Houston, TX 77019",2,2,1006
240000,"3231 Allen Pkwy Apt 1316, Houston, TX 77019",2,2,1006
219000,"3231 Allen Pkwy Apt 2303, Houston, TX 77019",2,1,835
192000,"3231 Allen Pkwy Apt 5202, Houston, TX 77019",1,1,641
375000,"1003 W Van Buren St, Houston, TX 77019",2,2.5,2125
159900,"3231 Allen Pkwy Apt 4103, Houston, TX 77019",1,1,537
485000,"1977 Indiana St, Houston, TX 77019",3,3.5,2452
649000,"1906 Brun St, Houston, TX 77019",3,3.5,3130
360000,"1022 LA Rue St, Houston, TX 77019",2,2,1896
207000,"1010 Rosine St Apt 309, Houston, TX 77019",1,1,1095
885000,"402 W Pierce St, Houston, TX 77019",3,3.5,3370
240000,"1601 S Shepherd Dr Apt 135, Houston, TX 77019",1,1.5,798
685000,"1321 W Clay St, Houston, TX 77019",3,3.5,3000
435000,"1008 Marconi St Unit B, Houston, TX 77019",3,2.5,2184
370000,"1419 Montrose Blvd Unit 201, Houston, TX 77019",2,2,1279
975000,"2520 Kingston St, Houston, TX 77019",3,3.5,3254
774000,"1504 Eberhard St, Houston, TX 77019",3,3.5,2949
945000,"2318 Welch St, Houston, TX 77019",3,3.5,3078
199900,"1601 S Shepherd Dr Apt 115, Houston, TX 77019",1,1,798
575000,"1604 Driscoll St, Houston, TX 77019",3,3.5,2387
620000,"516 W Polk St, Houston, TX 77019",3,3.5,2710
1190000,"2315 Peckham St, Houston, TX 77019",3,3.5,3575
325000,"3333 Allen Pkwy Unit 505, Houston, TX 77019",1,1,973
5995000,"2158 Brentwood Dr, Houston, TX 77019",5,5.5,7185
2750000,"2154 Inwood Dr, Houston, TX 77019",4,5.5,4596
569900,"1309 W Bell St, Houston, TX 77019",3,3.5,2252
1800000,"2109 Morse St, Houston, TX 77019",4,4.5,4507
1100000,"2312 Peckham St, Houston, TX 77019",5,3.5,3916
1349000,"2103 Argonne St Unit B, Houston, TX 77019",4,4.5,3576
249000,"1601 S Shepherd Dr Apt 241, Houston, TX 77019",2,1.5,956
1375000,"3331 Damico St Unit 503, Houston, TX 77019",2,2.5,2750
1899000,"2239 Mimosa Dr, Houston, TX 77019",4,4.5,5067
689000,"1212 Crocker St, Houston, TX 77019",3,2.5,2577
2350000,"2406 Westgate Dr, Houston, TX 77019",4,3.5,5031
3300000,"2421 Brentwood Dr, Houston, TX 77019",4,5.5,4660
1175000,"2313 Peckham St, Houston, TX 77019",3,3.5,3575
719000,"1215 Van Buren St, Houston, TX 77019",4,3.5,3860
5950000,"2232 Troon Rd, Houston, TX 77019",7,5.5,6488
