price,address,beds,baths,sqft
"$145,000","1605 Cleveland St, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$159,900","3231 Allen Pkwy #4103, Houston, TX 77019",1 Bed,1 Bath,537 Sq. Ft.
"$160,000","3231 Allen Pkwy #5105, Houston, TX 77019",1 Bed,1 Bath,537 Sq. Ft.
"$165,000","3231 Allen Pkwy #1209, Houston, TX 77019",1 Bed,1 Bath,580 Sq. Ft.
"$165,000","3231 Allen Pkwy #5301, Houston, TX 77019",1 Bed,1 Bath,537 Sq. Ft.
"$166,900","3231 Allen Pkwy #1308, Houston, TX 77019",1 Bed,1 Bath,580 Sq. Ft.
"$186,000","3231 Allen Pkwy #1111, Houston, TX 77019",1 Bed,1 Bath,580 Sq. Ft.
"$187,000","3231 Allen Pkwy #5202, Houston, TX 77019",1 Bed,1 Bath,641 Sq. Ft.
"$188,000","2111 Welch St Unit A325, Houston, TX 77019",1 Bed,1 Bath,850 Sq. Ft.
"$189,000","1601 S Shepherd #256, Houston, TX 77019",1 Bed,1.5 Baths,847 Sq. Ft.
"$190,000","1010 Rosine St #47, Houston, TX 77019",1 Bed,1.5 Baths,819 Sq. Ft.
"$190,000","1010 Rosine #103, Houston, TX 77019",1 Bed,1 Bath,872 Sq. Ft.
"$194,995","1408 Valentine St, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$199,900","1601 S Shepherd Dr #115, Houston, TX 77019",1 Bed,1 Bath,798 Sq. Ft.
"$207,000","1010 Rosine St #309, Houston, TX 77019",1 Bed,1 Bath,"1,095 Sq. Ft."
"$208,000","1601 S Shepherd Dr #136, Houston, TX 77019",1 Bed,1 Bath,798 Sq. Ft.
"$209,000","3231 Allen Pkwy #2303, Houston, TX 77019",2 Beds,1 Bath,835 Sq. Ft.
"$214,900","2100 Welch St Unit C113, Houston, TX 77019",1 Bed,1 Bath,926 Sq. Ft.
"$216,500","2100 Welch St Unit C313, Houston, TX 77019",1 Bed,1 Bath,926 Sq. Ft.
"$219,000","1010 Rosine St #28, Houston, TX 77019",1 Bed,1 Bath,"1,095 Sq. Ft."
"$234,900","1601 S Shepherd Dr #244, Houston, TX 77019",2 Beds,1.5 Baths,956 Sq. Ft.
"$235,000","3231 Allen Pkwy #6207, Houston, TX 77019",2 Beds,2 Baths,"1,006 Sq. Ft."
"$244,000","3231 Allen Parkway St #5307, Houston, TX 77019",2 Beds,2 Baths,"1,006 Sq. Ft."
"$244,500","3231 Allen Pkwy #4306, Houston, TX 77019",2 Beds,2 Baths,"1,006 Sq. Ft."
"$249,900","1909 Brun St #16, Houston, TX 77019",2 Beds,2 Baths,998 Sq. Ft.
"$260,000","2111 Welch Unit B 215, Houston, TX 77019",2 Beds,2 Baths,"1,252 Sq. Ft."
"$260,000","1010 Rosine St #24, Houston, TX 77019",2 Beds,2 Baths,"1,129 Sq. Ft."
"$275,000","2111 Welch St Unit A217, Houston, TX 77019",2 Beds,1.5 Baths,"1,244 Sq. Ft."
"$275,000","3231 Allen Pkwy #6107, Houston, TX 77019",2 Beds,2 Baths,"1,006 Sq. Ft."
"$288,000","2100 Welch St Unit C103, Houston, TX 77019",2 Beds,1.5 Baths,"1,327 Sq. Ft."
"$294,900","1913 Gillette St Unit M, Houston, TX 77006",2 Beds,2.5 Baths,"1,286 Sq. Ft."
"$295,000","1601 S Shepherd Dr #175, Houston, TX 77019",2 Beds,2 Baths,"1,020 Sq. Ft."
"$299,000","1010 Rosine St #41, Houston, TX 77019",2 Beds,2 Baths,"1,050 Sq. Ft."
"$299,999","1010 Rosine St #39, Houston, TX 77019",2 Beds,2 Baths,"1,300 Sq. Ft."
"$299,999","1201 Mcduffie St #197, Houston, TX 77019",2 Beds,2.5 Baths,"1,360 Sq. Ft."
"$300,000","2100 Welch St Unit C-205, Houston, TX 77019",2 Beds,1.5 Baths,"1,380 Sq. Ft."
"$306,000","2111 Welch St Unit A224, Houston, TX 77019",2 Beds,2 Baths,"1,390 Sq. Ft."
"$308,500","2111 Welch St Unit A328, Houston, TX 77019",2 Beds,2 Baths,"1,390 Sq. Ft."
"$315,000","906 Ruthven St, Houston, TX 77019",2 Beds,2 Baths,"1,820 Sq. Ft."
"$315,800","1201 Mcduffie St #167, Houston, TX 77019",2 Beds,2 Baths,"1,299 Sq. Ft."
"$325,000","3333 Allen Pkwy #505, Houston, TX 77019",1 Bed,1 Bath,973 Sq. Ft.
"$329,500","1913 Gillette St Unit J, Houston, TX 77006",2 Beds,2.5 Baths,"1,321 Sq. Ft."
"$329,500","1513 Oneil St, Houston, TX 77019",2 Beds,2.5 Baths,"1,650 Sq. Ft."
"$330,000","817 Andrews St, Houston, TX 77019",2 Beds,2 Baths,"1,653 Sq. Ft."
"$349,900","1205 Oneil St, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$359,000","835 Robin St, Houston, TX 77019",3 Beds,2 Baths,"2,130 Sq. Ft."
"$360,000","1419 Montrose Blvd #201, Houston, TX 77019",2 Beds,2 Baths,"1,279 Sq. Ft."
"$389,000","1201 Mcduffie St #161, Houston, TX 77019",2 Beds,2.5 Baths,"1,560 Sq. Ft."
"$389,900","1202 Columbus St, Houston, TX 77019",3 Beds,3.5 Baths,"2,089 Sq. Ft."
"$399,950","1006 Stanford St, Houston, TX 77019",2 Beds,2.5 Baths,"2,156 Sq. Ft."
"$410,000","1437 Oneil St, Houston, TX 77019",3 Beds,3 Baths,"2,154 Sq. Ft."
"$412,000","1218 Crocker St, Houston, TX 77019",3 Beds,3 Baths,"2,000 Sq. Ft."
"$430,000","1200 Columbus St, Houston, TX 77019",3 Beds,3.5 Baths,"2,198 Sq. Ft."
"$435,000","1008 Marconi St Unit B, Houston, TX 77019",3 Beds,2.5 Baths,"2,184 Sq. Ft."
"$435,000","2121 W Kirby Dr Unit 1MSW, Houston, TX 77019",1 Bed,1 Bath,800 Sq. Ft.
"$435,000","1025 S Shepherd Dr #310, Houston, TX 77019",1 Bed,2 Baths,"1,891 Sq. Ft."
"$450,000","3333 Allen Pkwy #401, Houston, TX 77019",2 Beds,2 Baths,"1,533 Sq. Ft."
"$450,000","1010 Columbus St, Houston, TX 77019",2 Beds,2.5 Baths,"1,968 Sq. Ft."
"$460,000","3304 W Dallas St, Houston, TX 77019",3 Beds,2.5 Baths,"2,261 Sq. Ft."
"$465,000","1212 W Dallas St, Houston, TX 77019",3 Beds,3.5 Baths,"2,349 Sq. Ft."
"$465,000","1616 Ruthven St, Houston, TX 77019",3 Beds,2.5 Baths,"2,020 Sq. Ft."
"$470,000","3333 Allen Pkwy #403, Houston, TX 77019",2 Beds,2.5 Baths,"1,544 Sq. Ft."
"$479,000","1974 Indiana St, Houston, TX 77019",3 Beds,3.5 Baths,"2,409 Sq. Ft."
"$490,000","1025 S Shepherd Dr #110, Houston, TX 77019",2 Beds,2 Baths,"1,884 Sq. Ft."
"$500,000","1135 W Bell St, Houston, TX 77019",2 Beds,3 Baths,"2,824 Sq. Ft."
"$515,000","1803 Oneil St Unit A, Houston, TX 77019",2 Beds,2.5 Baths,"2,319 Sq. Ft."
"$519,000","1241 W Pierce St, Houston, TX 77019",3 Beds,2.5 Baths,"2,735 Sq. Ft."
"$525,000","1504 Saulnier St, Houston, TX 77019",3 Beds,3.5 Baths,"2,197 Sq. Ft."
"$530,000","1326 W Pierce St, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
