price,address,beds,baths,sqft
885000,"402 W Pierce St, Houston, TX 77019",3,4,3370
240000,"1601 S Shepherd Dr APT 135, Houston, TX 77019",1,2,798
314000,"1601 W Webster St APT 8, Houston, TX 77019",2,2,1754
685000,"1321 W Clay St, Houston, TX 77019",3,4,3000
2350000,"2406 Westgate Dr, Houston, TX 77019",4,4,5031
249000,"1601 S Shepherd Dr APT 241, Houston, TX 77019",2,2,956
34500000,"2920 Lazy Lane Blvd, Houston, TX 77019",5,12,17405
540000,"1612 Ruthven St UNIT A, Houston, TX 77019",3,4,2405
5950000,"2232 Troon Rd, Houston, TX 77019",7,7,6488
3300000,"2421 Brentwood Dr, Houston, TX 77019",4,6,4660
5779000,"3720 Del Monte Dr, Houston, TX 77019",6,7,7457
379900,"1424 W Webster St, Houston, TX 77019",3,3,2154
325000,"3333 Allen Pkwy UNIT 505, Houston, TX 77019",1,1,973
448990,"1216 W Dallas St, Houston, TX 77019",3,4,2349
5595000,"3257 Huntingdon Pl, Houston, TX 77019",5,9,8371
774000,"1504 Eberhard St, Houston, TX 77019",3,4,2949
269000,"1010 Rosine St APT 25, Houston, TX 77019",2,2,1300
240000,"3231 Allen Pkwy APT 1316, Houston, TX 77019",2,2,1006
219000,"3231 Allen Pkwy APT 2303, Houston, TX 77019",2,1,835
399000,"728 Ruthven St, Houston, TX 77019",3,3,2539
2750000,"2154 Inwood Dr, Houston, TX 77019",4,6,4596
360000,"1022 La Rue St, Houston, TX 77019",2,2,1896
660000,"604 W Pierce St, Houston, TX 77019",4,4,2484
207000,"1010 Rosine St APT 309, Houston, TX 77019",1,1,1095
699999,"1010 Crocker St, Houston, TX 77019",3,5,3917
920000,"608 Stanford St #A, Houston, TX 77019",3,3,2882
308900,"918 Ruthven St, Houston, TX 77019",2,2,1730
235000,"2111 Welch St APT A232, Houston, TX 77019",2,1,1230
444000,"1320 W Dallas St, Houston, TX 77019",3,4,2650
6995000,"3723 Knollwood St, Houston, TX 77019",5,7,7167
3995000,"67 Tiel Way, Houston, TX 77019",4,6,5018
160000,"3231 Allen Pkwy APT 5105, Houston, TX 77019",1,1,537
649000,"1906 Brun St, Houston, TX 77019",3,4,3130
875000,"503 W Bell St, Houston, TX 77019",3,5,3614
190000,"1010 Rosine St APT 103, Houston, TX 77019",1,1,872
254900,"3231 Allen Pkwy APT 3202, Houston, TX 77019",2,2,1006
7099000,"9 West Ln, Houston, TX 77019",5,7,7551
243900,"3231 Allen Pkwy APT 4107, Houston, TX 77019",2,2,1006
559000,"1817 Huldy St, Houston, TX 77019",3,3,2722
1995000,"1607 Elmen St, Houston, TX 77019",3,4,5042
260000,"1010 Rosine St APT 24, Houston, TX 77019",2,2,1129
6950000,"3389 Inwood Dr, Houston, TX 77019",4,7,7234
1600000,"1610 Hazard St, Houston, TX 77019",5,5,4407
375000,"1003 Van Buren St, Houston, TX 77019",2,3,2125
529000,"1241 W Pierce St, Houston, TX 77019",3,3,2735
1800000,"2109 Morse St, Houston, TX 77019",4,5,4507
194900,"1010 Rosine St APT 47, Houston, TX 77019",1,2,819
5995000,"2158 Brentwood Dr, Houston, TX 77019",5,7,7185
199900,"1601 S Shepherd Dr APT 115, Houston, TX 77019",1,1,798
425000,"2020 Fairview Ave, Houston, TX 77019",2,3,1821
465000,"1212 W Dallas St, Houston, TX 77019",3,4,2349
699000,"1953 Haddon St, Houston, TX 77019",3,4,2534
7750000,"2406 River Oaks Blvd, Houston, TX 77019",5,6,7231
435000,"1008 Marconi St #B, Houston, TX 77019",3,3,2184
490000,"1025 S Shepherd Dr UNIT 110, Houston, TX 77019",2,2,1884
569900,"1309 W Bell St, Houston, TX 77019",3,4,2252
620000,"516 W Polk St, Houston, TX 77019",3,5,2710
485000,"1977 Indiana St, Houston, TX 77019",3,4,2452
5799900,"3842 Chevy Chase Dr, Houston, TX 77019",5,7,8624
1100000,"2312 Peckham St, Houston, TX 77019",5,4,3916
387500,"1413 Oneil St, Houston, TX 77019",3,4,2536
560000,"2107 Driscoll St, Houston, TX 77019",3,4,2215
4395000,"1839 Kirby Dr, Houston, TX 77019",5,8,6871
4850000,"2223 Inwood Dr, Houston, TX 77019",5,8,7125
1495000,"2024 Buffalo Ter, Houston, TX 77019",3,5,3603
1899000,"2239 Mimosa Dr, Houston, TX 77019",4,5,5067
849000,"2013 Mcduffie St, Houston, TX 77019",4,4,3159
235000,"3231 Allen Pkwy APT 6207, Houston, TX 77019",2,2,1006
399950,"1006 Stanford St, Houston, TX 77019",2,3,2156
